aeg,aja,aega,vremya,time
aga,,,no,but
armastama,armastada,armastab,lyubit,to love
asuma, asuda, asub, nahoditsa, to be situated
Eesti, Eesti, Eestit, Estonia, Estonia
elama, elada, elab, zhit, to live
harjutus, harjutuse, harjutust, uprazhnenie, exercise
hea, hea, head, horoshyj, good
hommik, hommiku, hommikut, utro, morning
homseni,,,do zavtra, till tomorrow
hästi,,,horowo, well
iga,,,kazhdyj, every
ilus, ilusa, ilusat, krasivyyj, beautiful
jalg, jala, jalga, noga, foot leg
järv, järve, järve, ozero, lake
ka,,, tozhe, also
kaart, kaardi, kaarti, karta otkrytka, map card
kuu, kuu, kuud, luna mesac, moon month
kõrv, kõrva, kõrva, uho, ear
käsi, käe, kätt, ruka, hand
lai, laia, laia, shirokij, wide
linn, linna, linna, gorod, city
maa, maa, maad, zemlja, land country
maakond, maakonna, maakonda, uezd, county
nina, nina, nina, nos, nose
nimi, nime, nime, imja, name
nägu, näo, nägu, lico, face
näopilt, näopildi, näopilti, portret, portrait
olema, olla, on, byt', nahoditsa
parem, parema, paremat, pravyj, right
pea, pea, pead, golova, head
poiss, poisi, poissi, malchik, boy
pole viga,,,nichego, not bad
praegu,,,seychas, now
päev, päeva, päeva, den', day
päike, päikese, päikest, solnce, sun
see, selle, seda, eto, this
siin,,, zdes, here
suu, suu, suud, rot, mouth
taevas, taeva, taevast, nebo, sky
tark, targa, tarka, umnyj, smart
tubli, tubli, tublit, otlichno, good
tüdruk, tüdruku, tüdrukut, devochka, girl
vana, vana, vana, staryj, old
vasak, vasaku, vasakut, levyj, left
väike, väikese, väikest, malenkij, small
õhtu, õhtu, õhtut, vecher, evening
öö, öö, ööd, noch', night
ümar, ümara, ümarat, kruglyj, round
aeglasemalt,,,medlennee, more slowly
ainult,,,tolko, only
aru saama, aru saada, aru saab, ponimat, to understand
eestlane, eestlase, eestlast, estonec, estonian
ema, ema, ema, mama, mother
emakeel, emakeele, emakeelt, rodnoj jazyk, mother tongue
hiina, hiina, hiinat, kitaj, china
hispaania, hispania, hispaaniat, ispanija, spain
inglismaa, inglismaa, inglismaad, anglija, england
inimene, inimese, inimest, chelovek, person
isa, isa, isa, otec, father
itaalia, itaalia, itaaliat, italia, italy
itaallane, itallase, itallast, italjanec, italian
juba,,, uzhe, already
kahjuks,,,k sozhaleniyu, unfortunately
keel, keele, keelt, jazyk, language
kerge, kerge, kerget, legkij, easy
kirjutama, kirjutada, kirjutab, pisat, to write
kodu, kodu, kodu, dom, home
kool, kooli, kooli, shkola, school
kursus, kursuse, kursust, kurs, course
leedu, leedu, leedut, litva, lithuania
lugema, lugeda, loeb, chitat, to read
luuletus, luuletuse, luuletusest, poema, poem
läti, läti, lätit, latvija, latvia
meil, meili, meili, e-pochta, email
meri, mere, merd, more, sea
natuke,,,nemnogo, a little
norra, norra, norrat, norvegija, norway
nüüd,,, seychas, now
oskama, osata, oskab, umet, can
poola, poola, poolat, polsha, poland
poolakas, poolaka, poolakat, polak, pole
prantsusmaa, prantsusmaa, pranstsusmaad, francija, france
päris,,, dovolno, quite
raamat, raamatu, raamatut, kniga, book
rahvus, rahvuse, rahvust, nacionalnost, nationality
raske, raske, rasket, trudnyj tazhelyj, difficult heavy
riik, riigi, riiki, gosudarstvo, state country
rootsi, rootsi, rootsit, shvecija, sweden
rääkima, rääkida, räägib, govorit, to speak
saksamaa, saksamaa, saksamaad, germanija, germany
soome, soome, soomet, finlandija, finland
suur, suure, suuret, bolshoj, big
sõna, sõna, sõna, slovo, word
sündima, sündida, sünnib, roditsa, to be born
taani, taani, taanit, danija, denmark
vanaema, vanaema, vanaema, babushka, grandmother
veel,,,esche, else yet still
õpetaja, õpetaja, õpetajat, uchitel, teacher
õpetama, õpetada, õpetab, uchit, to teach
õpilane, õpilase, õpilast, uchenik, student
õppima, õppida, õpib, uchit, to study
ääres,,,u okolo, at

